r_value,g_value,b_value,label
221,142,82,1
226,153,98,1
229,164,61,1
218,154,55,1
227,159,67,1
231,125,51,1
225,168,145,1
218,159,75,1
220,164,118,1
222,158,108,1
222,172,124,1
223,167,62,1
222,177,137,1
225,173,128,1
223,163,104,1
219,162,103,1
219,162,92,1
218,156,97,1
220,172,118,1
221,154,97,1
227,153,87,1
220,166,97,1
222,171,116,1
220,153,25,1
221,162,102,1
221,163,103,1
218,166,111,1
220,161,111,1
220,147,24,1
222,147,57,1
219,168,90,1
226,155,35,1
225,149,52,1
229,171,120,1
221,149,77,1
225,157,66,1
222,157,55,1
222,154,63,1
220,162,69,1
223,153,56,1
219,161,67,1
220,170,65,1
225,165,90,1
219,152,29,1
223,147,23,1
223,151,20,1
221,152,22,1
222,154,37,1
219,160,47,1
228,151,26,1
222,162,91,1
228,153,51,1
221,152,31,1
223,156,46,1
222,159,110,1
221,154,101,1
218,171,68,1
220,155,101,1
222,169,116,1
222,158,21,1
223,162,89,1
215,158,39,2
213,164,70,2
213,178,113,2
213,164,115,2
217,164,90,2
215,160,69,2
216,148,27,2
213,153,16,2
215,157,93,2
215,158,108,2
213,155,108,2
217,172,110,2
215,152,52,2
215,168,67,2
216,164,106,2
216,171,106,2
217,161,106,2
213,143,18,2
216,155,111,2
217,139,87,2
217,174,106,2
214,155,45,2
213,160,58,2
213,156,34,2
216,154,46,2
215,159,67,2
213,165,82,2
217,154,87,2
217,143,59,2
214,154,91,2
214,182,118,2
213,144,102,2
214,162,116,2
216,155,46,2
215,157,73,2
216,160,44,2
216,156,33,2
217,164,49,2
217,157,40,2
215,136,53,2
214,164,93,2
216,157,77,2
216,163,92,2
214,162,73,2
213,161,86,2
213,163,50,2
213,139,73,2
213,155,62,2
214,149,89,2
217,161,70,2
217,154,13,2
214,162,42,2
217,121,81,2
215,169,69,2
213,166,63,2
215,152,112,2
213,168,90,2
214,121,83,2
215,161,65,2
214,161,66,2
213,175,96,2
216,157,58,2
215,165,65,2
214,137,67,2
213,124,63,2
214,127,68,2
214,163,88,2
214,153,22,2
216,156,120,2
213,164,83,2
214,153,101,2
216,162,67,2
214,146,52,2
213,136,85,2
215,151,89,2
213,171,109,2
217,178,116,2
217,158,97,2
214,161,102,2
213,163,68,2
214,163,98,2
216,148,99,2
217,146,89,2
214,169,106,2
215,160,58,2
217,162,95,2
214,126,69,2
214,158,99,2
215,146,102,2
215,153,52,2
215,158,54,2
215,168,85,2
215,163,72,2
216,150,98,2
214,151,72,2
217,153,14,2
213,162,53,2
217,152,75,2
215,162,68,2
213,140,60,2
213,153,92,2
213,162,83,2
217,172,103,2
213,157,21,2
214,150,23,2
215,158,98,2
217,154,111,2
214,161,29,2
214,152,54,2
214,155,117,2
213,155,112,2
214,151,46,2
217,159,95,2
216,161,82,2
214,155,57,2
217,164,49,2
216,139,48,2
215,148,59,2
213,162,100,2
214,156,101,2
217,157,15,2
214,153,57,2
217,168,116,2
217,160,50,2
215,161,68,2
217,156,55,2
217,144,61,2
214,156,10,2
214,151,64,2
216,157,104,2
216,168,76,2
216,153,95,2
213,170,70,2
217,164,108,2
217,156,62,2
213,155,62,2
217,156,98,2
217,168,115,2
215,157,92,2
214,102,58,2
213,163,75,2
214,162,63,2
215,161,71,2
213,129,72,2
217,160,42,2
216,156,51,2
213,162,86,2
214,124,62,2
215,156,47,2
214,132,67,2
216,136,85,2
215,156,106,2
217,185,133,2
213,141,51,2
215,165,111,2
213,156,104,2
214,169,102,2
215,165,117,2
215,160,54,2
215,160,65,2
213,162,86,2
217,154,106,2
216,131,67,2
216,128,60,2
217,148,79,2
214,158,97,2
216,159,94,2
216,140,88,2
213,160,85,2
213,165,107,2
216,155,100,2
217,159,68,2
215,153,87,2
215,152,80,2
214,138,60,2
216,161,101,2
213,168,111,2
216,137,63,2
215,133,100,2
215,163,115,2
214,157,97,2
217,141,77,2
213,148,108,2
213,159,44,2
213,129,62,2
216,163,103,2
216,173,112,2
214,182,134,2
216,149,46,2
213,158,112,2
217,150,104,2
214,159,73,2
213,147,45,2
214,152,98,2
214,161,73,2
217,186,123,2
217,148,40,2
217,148,39,2
215,157,30,2
214,161,82,2
217,154,91,2
217,162,45,2
214,163,46,2
217,155,75,2
216,157,112,2
215,145,80,2
215,159,43,2
213,163,77,2
215,163,98,2
217,172,107,2
216,102,58,2
216,162,74,2
214,171,88,2
215,153,46,2
215,168,88,2
215,164,101,2
215,153,91,2
214,157,49,2
216,142,68,2
217,105,64,2
215,165,77,2
214,132,63,2
217,153,95,2
214,143,61,2
213,172,85,2
214,146,45,2
214,158,29,2
217,160,74,2
213,165,114,2
216,126,64,2
214,120,73,2
213,147,91,2
217,161,80,2
214,176,119,2
214,155,35,2
213,107,77,2
215,132,56,2
216,150,85,2
216,159,90,2
214,172,101,2
215,156,98,2
217,148,89,2
216,157,80,2
217,155,62,2
214,163,65,2
216,161,89,2
216,155,109,2
215,174,117,2
217,167,74,2
214,155,97,2
213,134,80,2
216,162,91,2
216,171,92,2
213,167,109,2
215,162,100,2
213,165,73,2
216,149,70,2
213,156,34,2
214,153,58,2
214,158,46,2
213,149,64,2
217,158,69,2
216,157,12,2
217,159,16,2
216,154,91,2
217,149,87,2
217,163,91,2
216,156,18,2
215,168,85,2
214,154,13,2
213,156,91,2
217,157,20,2
217,117,84,2
215,163,39,2
214,165,81,2
218,155,104,2
218,170,117,2
217,156,100,2
214,162,73,2
215,164,114,2
217,164,74,2
217,139,62,2
217,148,87,2
215,163,91,2
215,164,75,2
218,144,71,2
216,139,44,2
218,169,94,2
218,168,77,2
216,148,71,2
213,165,118,2
216,167,96,2
215,164,67,2
214,158,61,2
215,168,93,2
218,120,75,2
214,119,52,2
217,156,88,2
216,136,68,2
216,137,93,2
218,135,64,2
216,161,73,2
216,164,72,2
214,155,68,2
214,157,73,2
215,140,92,2
214,165,72,2
216,158,70,2
216,150,73,2
215,152,71,2
218,142,105,2
217,154,97,2
215,162,98,2
215,159,43,2
215,162,111,2
215,152,85,2
216,163,53,2
214,156,15,2
214,154,19,2
218,169,116,2
215,158,91,2
217,155,80,2
216,157,98,2
217,161,76,2
215,137,81,2
217,148,92,2
217,156,100,2
217,116,72,2
217,111,68,2
214,165,128,2
214,170,135,2
216,149,56,2
214,155,66,2
217,155,69,2
214,164,109,2
215,166,71,2
216,141,69,2
218,135,63,2
217,138,100,2
215,151,110,2
214,147,50,2
218,146,21,2
215,147,80,2
217,138,61,2
218,155,76,2
217,120,66,2
215,156,77,2
217,160,71,2
214,123,64,2
218,158,70,2
218,159,95,2
218,153,92,2
215,160,39,2
215,157,60,2
215,156,13,2
216,145,85,2
215,155,51,2
217,161,73,2
216,147,84,2
217,157,97,2
218,150,89,2
218,112,69,2
