r_value,g_value,b_value,label
214,126,69,4
221,149,76,4
203,162,99,4
210,160,103,4
214,158,99,4
215,146,102,4
210,163,100,4
215,153,52,4
222,155,61,4
215,168,85,4
215,163,72,4
200,170,65,4
224,150,81,4
223,157,104,4
211,152,103,4
216,150,98,4
214,151,72,4
217,153,14,4
213,162,53,4
221,155,70,4
217,152,75,4
215,162,68,4
213,140,60,4
209,137,82,4
222,161,92,4
207,157,95,4
213,153,92,4
209,173,110,4
217,172,103,4
197,156,64,4
213,157,21,4
222,149,106,4
211,156,41,4
209,145,31,4
214,150,23,4
204,158,41,4
218,160,113,4
218,160,110,4
220,171,120,4
209,170,121,4
215,158,98,4
217,154,111,4
204,146,97,4
214,161,29,4
200,146,97,4
220,145,39,4
214,152,54,4
212,139,67,4
205,128,67,4
212,162,52,4
220,152,112,4
214,155,117,4
210,153,44,4
213,155,112,4
212,153,103,4
214,151,46,4
208,157,72,4
199,120,68,4
211,161,70,4
214,155,57,4
217,164,49,4
205,133,68,4
201,166,60,4
218,135,64,4
230,148,56,4
216,139,48,4
221,132,44,4
218,154,11,4
202,150,62,4
215,148,59,4
195,163,97,4
206,167,67,4
203,166,79,4
206,166,66,4
210,163,73,4
206,164,91,4
202,155,72,4
204,166,68,4
213,162,100,4
214,156,101,4
207,164,95,4
206,175,105,4
209,162,86,4
207,172,100,4
194,173,69,4
210,159,78,4
217,157,15,4
205,155,31,4
195,170,61,4
209,155,66,4
214,153,57,4
198,172,122,4
208,170,113,4
217,168,116,4
217,160,50,4
190,122,50,4
198,132,66,4
199,160,56,4
210,158,116,4
212,146,11,4
207,159,26,4
206,160,53,4
199,173,91,4
207,157,21,4
195,150,15,4
212,159,111,4
217,156,55,4
217,144,61,4
212,161,69,4
219,159,34,4
206,155,113,4
214,156,10,4
200,162,25,4
209,159,42,4
201,175,69,4
199,154,15,4
209,159,39,4
219,159,108,4
204,166,88,4
220,157,102,4
226,158,98,4
222,148,85,4
212,148,104,4
214,151,64,4
173,117,57,4
222,154,31,4
206,170,65,4
207,150,16,4
210,155,8,4
216,157,104,4
199,162,38,4
193,162,46,4
226,156,56,4
210,165,84,4
206,158,112,4
218,161,60,4
216,168,76,4
223,150,87,4
223,148,86,4
201,169,51,4
216,153,95,4
188,178,43,4
212,162,27,4
213,170,70,4
189,116,65,4
195,121,66,4
217,164,108,4
206,153,29,4
211,166,90,4
222,148,43,4
206,165,78,4
206,160,23,4
209,148,92,4
217,156,62,4
217,156,98,4
227,167,108,4
217,168,115,4
215,157,92,4
190,172,65,4
214,102,58,4
223,150,13,4
212,143,63,4
207,167,52,4
213,163,75,4
214,162,63,4
219,159,61,4
218,161,60,4
212,159,62,4
210,122,62,4
203,170,98,4
209,155,74,4
215,161,71,4
218,127,74,4
207,163,106,4
210,165,52,4
213,129,72,4
205,161,74,4
217,160,42,4
216,156,51,4
214,124,62,4
215,156,47,4
201,169,89,4
212,171,85,4
202,167,79,4
199,96,71,4
210,139,77,4
200,94,60,4
208,157,18,4
