r_value,g_value,b_value,label
204,156,21,1
207,155,48,1
215,158,39,1
207,164,90,1
220,153,51,1
208,161,88,1
213,164,70,1
212,165,107,1
200,150,110,1
219,125,49,1
217,159,95,1
214,143,61,1
225,167,93,1
200,172,94,1
174,95,76,1
181,155,91,1
191,166,71,1
218,165,72,1
183,174,40,1
212,161,20,1
203,172,119,1
214,164,109,1
201,162,117,1
177,91,65,1
203,133,94,1
217,152,60,1
208,160,66,1
212,151,55,1
220,170,109,1
216,164,90,1
160,99,72,1
181,174,112,1
212,156,80,1
202,162,88,1
208,154,69,1
218,165,96,1
225,168,145,1
201,145,109,1
189,132,82,1
188,124,59,1
211,141,27,1
217,150,58,1
207,160,76,1
207,167,117,1
190,154,103,1
192,186,139,1
196,111,62,1
192,165,111,1
210,166,107,1
207,159,103,1
218,156,97,1
220,147,24,1
174,95,77,1
223,153,56,1
185,154,99,1
192,175,120,1
222,162,91,1
186,110,58,1
201,162,106,1
194,165,74,1
196,161,67,1
209,165,74,1
211,161,94,1
185,173,120,1
196,164,135,1
182,123,98,1
194,190,135,1
194,183,119,1
206,170,82,1
208,164,110,1
188,154,98,1
204,141,73,1
202,162,85,1
207,161,72,1
225,136,77,1
199,159,94,1
191,176,117,1
193,167,112,1
161,94,70,1
221,157,57,1
208,171,119,1
191,166,112,1
181,96,67,1
202,165,86,1
211,161,77,1
186,147,97,1
184,125,104,1
187,150,90,1
220,152,70,1
193,163,107,1
209,163,76,1
220,161,74,1
215,158,82,1
215,171,104,1
208,171,92,1
191,116,97,1
189,159,96,1
213,178,113,1
204,180,114,1
203,183,122,1
203,176,114,1
215,168,67,1
202,176,116,1
218,154,25,1
224,162,53,1
216,154,46,1
216,160,44,1
177,101,81,1
192,165,120,1
201,172,126,1
203,161,113,1
204,166,61,1
195,156,115,1
209,156,109,1
196,120,62,1
209,148,58,1
207,128,68,1
203,166,57,1
200,125,64,1
213,139,73,1
206,132,66,1
197,150,137,1
170,92,74,1
194,171,121,1
212,174,132,1
212,148,109,1
209,152,113,1
209,157,78,1
218,151,41,1
222,166,121,1
233,149,27,1
198,122,62,1
198,123,62,1
207,160,35,1
164,106,80,1
214,121,83,1
205,149,69,1
197,151,90,1
211,156,87,1
208,153,67,1
216,156,120,1
220,156,91,1
222,157,92,1
207,167,65,1
212,164,50,1
201,170,91,1
226,148,13,1
222,160,56,1
209,153,73,1
227,157,66,1
213,163,68,1
222,163,71,1
220,159,46,1
215,158,54,1
198,162,79,1
220,158,44,1
187,165,109,1
212,163,102,1
204,157,80,1
175,94,67,1
227,153,64,1
213,162,83,1
216,161,82,1
205,175,97,1
206,160,74,1
215,161,68,1
213,155,62,1
207,148,43,1
223,159,36,1
220,162,86,1
206,157,98,1
213,162,86,1
221,150,64,1
218,159,87,1
168,98,73,1
211,155,91,1
215,165,117,1
222,154,19,1
206,165,58,1
208,163,59,1
211,154,64,1
212,162,74,1
213,160,85,1
202,159,66,1
205,165,72,1
196,150,13,1
203,154,11,1
195,158,21,1
167,101,82,1
200,162,123,1
212,138,93,1
186,104,81,1
228,148,19,1
195,157,78,1
206,162,88,1
201,162,58,1
207,167,85,1
221,157,50,1
183,178,42,1
202,151,10,1
215,163,115,1
210,142,100,1
208,162,114,1
208,158,108,1
202,173,79,1
201,165,69,1
179,115,103,1
193,173,84,1
192,174,95,1
198,170,84,1
206,166,79,1
204,165,67,1
201,116,66,1
226,150,36,1
202,165,84,1
224,155,38,1
223,161,59,1
221,155,103,1
187,135,124,1
211,152,101,1
225,146,88,1
217,150,104,1
200,167,76,1
222,160,52,1
201,154,79,1
217,162,45,1
208,162,61,1
190,173,93,1
195,132,101,1
190,115,68,1
189,137,102,1
214,171,88,1
213,172,85,1
212,171,85,1
213,107,77,1
219,162,93,1
209,147,100,1
212,165,111,1
216,155,109,1
198,173,85,1
222,163,60,1
201,171,69,1
213,156,34,1
222,157,64,1
225,159,53,1
191,165,54,1
229,164,61,1
209,125,69,1
209,170,83,1
215,168,85,1
215,164,114,1
210,168,118,1
213,165,118,1
207,172,52,1
203,174,60,1
207,167,42,1
205,164,36,1
206,162,69,1
203,160,70,1
208,124,71,1
188,123,77,1
210,164,80,1
204,161,108,1
216,161,73,1
218,154,55,1
194,158,103,1
205,152,100,1
203,160,104,1
206,148,108,1
215,162,98,1
210,166,100,1
217,161,76,1
196,113,65,1
211,159,113,1
202,117,70,1
176,131,106,1
210,173,90,1
227,159,67,1
211,163,83,1
215,166,71,1
197,159,65,1
231,125,51,1
209,162,110,1
218,159,75,1
220,164,118,1
222,158,108,1
222,172,124,1
207,152,77,1
205,146,79,1
215,156,77,1
211,167,77,1
198,174,88,1
223,167,62,1
222,177,137,1
225,173,128,1
212,167,67,1
217,161,73,1
195,162,110,1
188,134,112,1
201,167,85,1
223,163,104,1
219,162,103,1
212,166,74,1
216,166,80,1
209,163,92,1
209,143,97,1
